name,users_registered,attended_count,attendance_rate
Mastering Public Speaking,10,6,60.0
Software Engineering,15,9,60.0
Machine Learning in Healthcare,8,8,100.0
Programming AI Tips,4,3,75.0
Tech Industry Career Fair,6,6,100.0
Advancements in Renewable Energy Research,3,5,166.66666666666669
Mental Health in the Workplace,5,4,80.0
Blockchain for Business,4,2,50.0
Green Energy Summit,18,4,22.22222222222222
Women in Leadership,9,3,33.33333333333333
Psychology of Decision Making,7,6,85.71428571428571
Building Scalable Startups,6,5,83.33333333333334
High-Performance Training in Sports,10,4,40.0
Biotechnology & Genetics,4,3,75.0
Future of AI & Robotics,8,4,50.0
Startup Founders Networking Night,12,10,83.33333333333334
Entrepreneurship Bootcamp,16,4,25.0
AI and the Future of Business,13,4,30.76923076923077
